date,djct
2001-08-23,4487.25
2001-08-24,4561.58
2001-08-27,4551.6
2001-08-28,4513.8
2001-08-29,4473.83
2001-08-30,4407.32
2001-08-31,4417.81
2001-09-04,4442.38
2001-09-05,4440.31
2001-09-06,4379.62
2001-09-07,4290.6
2001-09-10,4271.76
2001-09-11,4271.52
2001-09-12,4271.52
2001-09-14,4271.52
2001-09-17,3939.27
2001-09-18,3907.96
2001-09-19,3836.36
2001-09-20,3700.4
2001-09-21,3658.53
2001-09-24,3770.84
2001-09-25,3763.57
2001-09-26,3699.01
2001-09-27,3713.37
2001-09-28,3820.86
2001-10-01,3807.29
2001-10-02,3860.15
2001-10-03,3949.44
2001-10-04,3931.26
2001-10-05,3952.77
2001-10-08,3924.69
2001-10-09,3886.77
2001-10-10,3973.46
2001-10-11,4046.6
2001-10-12,4000.34
2001-10-15,4004.62
2001-10-16,4039.17
2001-10-17,3967.66
2001-10-18,3920.73
2001-10-19,3928.66
2001-10-22,3972.87
2001-10-23,3963.63
2001-10-24,3930.78
2001-10-25,3983.58
2001-10-26,4002.48
2001-10-29,3922.2
2001-10-30,3865.67
2001-10-31,3861.83
2001-11-01,3923.54
2001-11-02,3928.25
2001-11-05,3993.35
2001-11-06,4032.98
2001-11-07,4023.01
2001-11-08,4047.37
2001-11-09,4057.61
2001-11-12,4023.76
2001-11-13,4104.75
2001-11-14,4125.12
2001-11-15,4148.09
2001-11-16,4167.14
2001-11-19,4199.59
2001-11-20,4176.98
2001-11-21,4144.17
2001-11-23,4200.45
2001-11-26,4197.65
2001-11-27,4167.56
2001-11-28,4085.85
2001-11-29,4128.39
2001-11-30,4143.8
2001-12-03,4109.24
2001-12-04,4171.65
2001-12-05,4260.33
2001-12-06,4246.11
2001-12-07,4250.66
2001-12-10,4197.22
2001-12-11,4165.12
2001-12-12,4172.38
2001-12-13,4137.18
2001-12-14,4152.58
2001-12-17,4178.9
2001-12-18,4231.76
2001-12-19,4271.65
2001-12-20,4229.29
2001-12-21,4238.6
2001-12-24,4244.95
2001-12-26,4275.53
2001-12-27,4298.06
2001-12-28,4306.35
2001-12-31,4275.04
2002-01-02,4292.78
2002-01-03,4350.55
2002-01-04,4402.3
2002-01-07,4389.89
2002-01-08,4367.66
2002-01-09,4335.36
2002-01-10,4329.35
2002-01-11,4281.79
2002-01-14,4251.61
2002-01-15,4270.95
2002-01-16,4198.69
2002-01-17,4235.0
2002-01-18,4213.75
2002-01-22,4186.91
2002-01-23,4227.98
2002-01-24,4245.33
2002-01-25,4267.98
2002-01-28,4281.64
2002-01-29,4175.54
2002-01-30,4219.86
2002-01-31,4285.06
2002-02-01,4275.11
2002-02-04,4194.6
2002-02-05,4181.79
2002-02-06,4136.97
2002-02-07,4126.31
2002-02-08,4174.11
2002-02-11,4239.34
2002-02-12,4242.13
2002-02-13,4275.0
2002-02-14,4265.0
2002-02-15,4231.36
2002-02-19,4175.37
2002-02-20,4234.42
2002-02-21,4209.72
2002-02-22,4254.83
2002-02-25,4315.21
2002-02-26,4325.68
2002-02-27,4353.67
2002-02-28,4330.45
2002-03-01,4439.18
2002-03-04,4561.36
2002-03-05,4511.27
2002-03-06,4576.22
2002-03-07,4571.4
2002-03-08,4577.25
2002-03-11,4594.43
2002-03-12,4582.15
2002-03-13,4526.92
2002-03-14,4532.96
2002-03-15,4558.37
2002-03-18,4557.27
2002-03-19,4567.52
2002-03-20,4517.42
2002-03-21,4519.76
2002-03-22,4514.17
2002-03-25,4453.44
2002-03-26,4487.3
2002-03-27,4525.86
2002-03-28,4525.36
2002-04-01,4492.91
2002-04-02,4456.73
2002-04-03,4409.57
2002-04-04,4436.28
2002-04-05,4438.76
2002-04-08,4426.68
2002-04-09,4415.96
2002-04-10,4498.79
2002-04-11,4415.61
2002-04-12,4449.19
2002-04-15,4386.46
2002-04-16,4478.1
2002-04-17,4457.43
2002-04-18,4441.22
2002-04-19,4457.4
2002-04-22,4401.55
2002-04-23,4386.66
2002-04-24,4362.09
2002-04-25,4369.09
2002-04-26,4327.96
2002-04-29,4294.65
2002-04-30,4339.36
2002-05-01,4381.12
2002-05-02,4393.54
2002-05-03,4373.46
2002-05-06,4310.47
2002-05-07,4302.73
2002-05-08,4410.4
2002-05-09,4358.31
2002-05-10,4299.82
2002-05-13,4361.0
2002-05-14,4433.94
2002-05-15,4420.45
2002-05-16,4398.44
2002-05-17,4415.56
2002-05-20,4385.96
2002-05-21,4341.5
2002-05-22,4383.04
2002-05-23,4422.11
2002-05-24,4385.72
2002-05-28,4344.56
2002-05-29,4314.45
2002-05-30,4302.51
2002-05-31,4312.65
2002-06-03,4213.53
2002-06-04,4206.86
2002-06-05,4230.65
2002-06-06,4162.12
2002-06-07,4163.29
2002-06-10,4195.67
2002-06-11,4155.16
2002-06-12,4189.12
2002-06-13,4166.51
2002-06-14,4142.4
2002-06-17,4226.77
2002-06-18,4242.08
2002-06-19,4208.67
2002-06-20,4160.01
2002-06-21,4118.23
2002-06-24,4104.65
2002-06-25,4023.54
2002-06-26,4019.92
2002-06-27,4078.12
2002-06-28,4099.19
2002-07-01,4040.24
2002-07-02,3968.52
2002-07-03,3966.18
2002-07-05,4072.64
2002-07-08,4028.36
2002-07-09,3946.09
2002-07-10,3820.45
2002-07-11,3827.36
2002-07-12,3763.91
2002-07-15,3747.55
2002-07-16,3685.05
2002-07-17,3688.5
2002-07-18,3626.53
2002-07-19,3477.59
2002-07-22,3370.84
2002-07-23,3268.22
2002-07-24,3447.68
2002-07-25,3496.07
2002-07-26,3517.49
2002-07-29,3683.76
2002-07-30,3725.83
2002-07-31,3738.27
2002-08-01,3639.92
2002-08-02,3540.11
2002-08-05,3443.9
2002-08-06,3561.46
2002-08-07,3625.85
2002-08-08,3720.22
2002-08-09,3739.75
2002-08-12,3721.44
2002-08-13,3637.31
2002-08-14,3740.43
2002-08-15,3764.65
2002-08-16,3752.47
2002-08-19,3822.57
2002-08-20,3788.85
2002-08-21,3863.46
2002-08-22,3910.72
2002-08-23,3829.26
2002-08-26,3867.17
2002-08-27,3817.42
2002-08-28,3756.79
2002-08-29,3715.49
2002-08-30,3710.65
2002-09-03,3594.17
2002-09-04,3645.08
2002-09-05,3570.19
2002-09-06,3627.63
2002-09-09,3651.86
2002-09-10,3665.35
2002-09-11,3666.17
2002-09-12,3579.29
2002-09-13,3570.83
2002-09-16,3571.43
2002-09-17,3493.94
2002-09-18,3491.38
2002-09-19,3421.56
2002-09-20,3429.74
2002-09-23,3370.96
2002-09-24,3295.73
2002-09-25,3375.64
2002-09-26,3478.39
2002-09-27,3360.65
2002-09-30,3324.75
2002-10-01,3448.95
2002-10-02,3360.07
2002-10-03,3355.28
2002-10-04,3261.99
2002-10-07,3195.99
2002-10-08,3201.5
2002-10-09,3057.26
2002-10-10,3190.67
2002-10-11,3298.17
2002-10-14,3285.25
2002-10-15,3430.9
2002-10-16,3321.06
2002-10-17,3418.15
2002-10-18,3438.04
2002-10-21,3542.99
2002-10-22,3501.66
2002-10-23,3537.97
2002-10-24,3480.19
2002-10-25,3525.72
2002-10-28,3507.04
2002-10-29,3496.11
2002-10-30,3536.46
2002-10-31,3521.69
2002-11-01,3576.52
2002-11-04,3617.11
2002-11-05,3649.81
2002-11-06,3707.42
2002-11-07,3617.07
2002-11-08,3585.09
2002-11-11,3509.51
2002-11-12,3508.62
2002-11-13,3525.75
2002-11-14,3589.56
2002-11-15,3608.88
2002-11-18,3564.15
2002-11-19,3551.13
2002-11-20,3598.13
2002-11-21,3674.12
2002-11-22,3677.52
2002-11-25,3694.04
2002-11-26,3616.12
2002-11-27,3724.04
2002-11-29,3711.95
2002-12-02,3703.02
2002-12-03,3666.5
2002-12-04,3654.59
2002-12-05,3624.06
2002-12-06,3648.75
2002-12-09,3584.96
2002-12-10,3629.59
2002-12-11,3638.54
2002-12-12,3624.7
2002-12-13,3599.85
2002-12-16,3670.28
2002-12-17,3646.94
2002-12-18,3610.63
2002-12-19,3589.38
2002-12-20,3641.35
2002-12-23,3631.03
2002-12-24,3615.89
2002-12-26,3619.41
2002-12-27,3570.29
2002-12-30,3587.45
2002-12-31,3593.69
2003-01-02,3698.02
2003-01-03,3697.63
2003-01-06,3791.66
2003-01-07,3757.8
2003-01-08,3714.67
2003-01-09,3776.44
2003-01-10,3767.08
2003-01-13,3752.04
2003-01-14,3767.33
2003-01-15,3726.79
2003-01-16,3725.23
2003-01-17,3680.87
2003-01-21,3609.0
2003-01-22,3547.02
2003-01-23,3572.86
2003-01-24,3473.03
2003-01-27,3408.97
2003-01-28,3459.44
2003-01-29,3462.99
2003-01-30,3401.06
2003-01-31,3450.85
2003-02-03,3464.26
2003-02-04,3427.33
2003-02-05,3418.71
2003-02-06,3413.42
2003-02-07,3370.86
